연번,공원명,지역,공원주소,lon,lat
105,문정근린공원,송파구,서울특별시 송파구 문정동 18-4,127.1275819,37.4862156
106,문화예술공원,서초구,서울특별시 서초구 바우뫼로12길 40 (양재동),127.030517,37.467654
107,세종로공원,종로구,서울특별시 종로구 세종대로 189 (우) 03172,126.9758875,37.5735
108,샘말공원(관악산근린공원 샘말지구),관악구,서울특별시 관악구 대학동 산63-1일대 샘말공원,126.938511,37.4642128
109,초안산생태공원,도봉구,서울특별시 도봉구 창동 산24,127.0405382,37.6479483
110,푸른수목원,구로구,서울특별시 구로구 서해안로 2117(항동81-1) 푸른수목원관리사무소,126.82407,37.483029
111,서오능도시자연공원,은평구,서울특별시 은평구 구파발동 갈현동 진관내동,126.9134338,37.6374823
112,청계산도시자연공원,서초구,서울특별시 서초구 원지동 산 33,127.0424726,37.4224347
113,개화근린공원,강서구,서울특별시 강서구 개화동 산17,126.8068278,37.5813917
114,아차산공원,광진구,서울특별시 광진구 광장동 370,127.1010031,37.5517142
115,인능산도시자연공원,서초구,서울특별시 서초구 내곡동 산12-404,127.0666632,37.4482109
116,구룡산도시자연공원,서초구,서울특별시 서초구 염곡동 산25-1,127.061567,37.4689473
117,우면산도시자연공원,서초구,서울특별시 서초구 우면동 산35-1,127.0091324,37.470484
118,향림근린공원,은평구,서울특별시 은평구 진관동 산55,126.9240693,37.6293824
119,신사근린공원,은평구,서울특별시 은평구 신사동 산80-4,126.9102948,37.5920771
120,광평근린공원,강남구,서울특별시 강남구 수서동 산10-1,127.092184,37.4880445
121,청담근린공원,강남구,서울특별시 강남구 청담동 66,127.052453,37.5213259
122,허브천문공원,강동구,서울특별시 강동구 둔촌동 산94,127.1533951,37.5372715
123,연신내물빛공원,은평구,서울특별시 은평구 통일로 849,126.9207354,37.619052
124,숭인근린공원,종로구,서울특별시 종로구 숭인동 58,127.0178267,37.5764419
125,서일대뒷산공원,중랑구,서울특별시 중랑구 면목동 산19,127.0987817,37.5877155
126,용마도시자연공원(사가정공원),중랑구,서울특별시 중랑구 면목7동 산50 ,127.095997,37.5797622
127,문화비축기지,마포구,서울특별시 마포구 증산로 87,126.8932455,37.57171848
129,율현공원,강남구,서울특별시 강남구 밤고개로24길 91(율현동 56),127.115594,37.472332
131,서울식물원,강서구,서울특별시 강서구 마곡동로 161 서울식물원,126.83483,37.569781
