아파트명,세대수,시군구,lon,lat
월계사슴1단지,1372,노원구,127.0605132,37.6300507
길음뉴타운8단지,1497,성북구,127.0179788,37.6074358
SK북한산시티임대,1497,강북구,127.0127489,37.6199864
중계4단지목화,1979,노원구,127.0696523,37.6435986
고덕리엔파크3단지,2283,강동구,127.1747855,37.5513683
신정이펜하우스3단지,1339,양천구,126.8317714,37.5117701
미아뉴타운두산위브트레지움,1370,강북구,127.0171258,37.6175803
남서울힐스테이트,1764,금천구,126.9012055,37.4478428
힐스테이트상도센트럴파크,1559,동작구,126.9511563,37.4958315
DMC래미안e편한세상,3293,서대문구,126.9109013,37.572773
래미안옥수리버젠,1511,성동구,127.0144609,37.5464825
송파꿈에그린아파트,1810,송파구,127.1393766,37.4762215
신내우디안1단지,1402,중랑구,127.1067198,37.6188699
신내 데시앙포레,1896,중랑구,127.1095902,37.6166178
강남한양수자인,1304,강남구,127.1116326,37.4761329
마포래미안푸르지오,3885,마포구,126.9542913,37.552355
마곡엠밸리14단지,1270,강서구,126.8240725,37.5580573
강서힐스테이트아파트,2603,강서구,126.8368532,37.5460793
마곡엠밸리6단지,1466,강서구,126.820168853,37.56465052
래미안위브,2652,동대문구,127.052370031,37.57285189
텐즈힐1단지,1369,성동구,127.029523531,37.567343812
래미안크레시티,2397,동대문구,127.049688319,37.57552441
강남자곡힐스테이트아파트,1339,강남구,127.089608304,37.471808424
래미안 대치 팰리스,1608,강남구,127.058330579,37.497179415
DMC파크뷰자이아파트,4300,서대문구,126.922655933,37.573897103
번동주공3단지,1560,강북구,127.041121876,37.62797742
면목한신,1362,중랑구,127.074317755,37.587052522
번동주공2단지,1766,강북구,127.044693051,37.625696977
센트라스,2529,성동구,127.028445899926,37.5663379455023
금천롯데캐슬골드파크1차아파트,1743,금천구,126.894426981405,37.4597543543324
아크로리버파크,1612,서초구,126.993250772,37.504899938
래미안힐스테이트 고덕,3658,강동구,127.150901775,37.559120831
래미안에스티움,1722,영등포구,126.911869059,37.500998074
서울역센트럴자이아파트,1341,중구,126.963095629,37.554609078
옥수파크힐스아파트,1976,성동구,127.012736958,37.547818816
위례포레샤인아파트,2200,송파구,127.134102732,37.476533455
e편한세상금호파크힐스,1330,성동구,127.02150397,37.554065425
e편한세상신촌아파트,1910,서대문구,126.954974315,37.558298572
헬리오시티아파트,9510,송파구,127.10249742,37.497609869
래미안베라힐즈,1305,은평구,126.935970375,37.602836004
래미안블레스티지,1957,강남구,127.06415056,37.480048959
래미안길음센터피스,2352,성북구,127.027970717,37.609757966
래미안솔베뉴,1900,강동구,127.144621707,37.552949018
백련산 에스케이뷰 아이파크,1305,은평구,126.919438125,37.595215907
