사업체명,관할지사,소재지,정제주소,lat,lon
㈜넥스톤,서울남부지사,"서울특별시 금천구 가산디지털2로 43-14, 7층 712, 713, 714, 715호(가산동, 가산한화비즈메트로2차)","서울특별시 금천구 가산디지털2로 43-14, 7층 712, 713, 714, 715호(가산동, 가산한화비즈메트로2차)",37.4724085287804,126.881497642445
㈜호브,서울지역본부,"서울특별시 종로구 종로 33, 2층(청진동, 그랑서울)","서울특별시 종로구 종로 33, 2층(청진동, 그랑서울)",37.5709617749066,126.981437983842
도시마을협동조합,서울남부지사,"서울특별시 강서구 강서로 462, 208호(등촌동, 대룡드림타워-1)","서울특별시 강서구 강서로 462, 208호(등촌동, 대룡드림타워-1)",37.5666120273171,126.84140274432
㈜엠케이글로벌컴퍼니,서울남부지사,"서울특별시 금천구 디지털로 10길 78, 1224(가산동)","서울특별시 금천구 디지털로 10길 78, 1224(가산동)",37.4745325914718,126.889614189767
에스앤씨(SnC)패션,서울남부지사,"서울특별시 금천구 가산디지털2로 14, 6층 606~608호 snc패션(가산동, 대륭테크노타운12차)","서울특별시 금천구 가산디지털2로 14, 6층 606608호 snc패션(가산동, 대륭테크노타운12차)",37.4696780474214,126.88425457098
좋은운동장,서울북부지사,"서울특별시 성동구 고산자로 320, 1층(마장동)","서울특별시 성동구 고산자로 320, 1층(마장동)",37.5681779208139,127.037395217937
㈜티몬위드유,서울동부지사,"서울특별시 강남구 압구정로 118, 1층(신사동, 아리지 빌딩)","서울특별시 강남구 압구정로 118, 1층(신사동, 아리지 빌딩)",37.5234254669729,127.021548949316
사회적협동조합 스윗,서울지역본부,"서울특별시 중구 세종대로9길 20, 15층","서울특별시 중구 세종대로9길 20, 15층",37.5611194573103,126.974573564652
이수매니지먼트㈜,서울지역본부,"서울특별시 서대문구 이화여대길 52, 이화알프스어린이관 비108호","서울특별시 서대문구 이화여대길 52, 이화알프스어린이관 비108호",37.5644645178259,126.950288837762
참약손지압힐링센터,서울남부지사,"서울특별시 금천구 가산디지털1로 171, 2층 206호(가산동, 가산에스케이 브이원 센터)","서울특별시 금천구 가산디지털1로 171, 2층 206호(가산동, 가산에스케이 브이원 센터)",37.4808318534376,126.880662051163
㈜나야넷,서울남부지사,"서울특별시 금천구 가산디지털1로 145, 804호(가산동, 에이스하이엔드타워3차)","서울특별시 금천구 가산디지털1로 145, 804호(가산동, 에이스하이엔드타워3차)",37.4781692344362,126.881599455022
㈜네오피에스,서울북부지사,"서울특별시 성동구 광나루로8길 31, 2동 10층(성수동2가, SK V1센터)","서울특별시 성동구 광나루로8길 31, 2동 10층(성수동2가, SK V1센터)",37.5471881065539,127.066325845916
아트리아,서울북부지사,"서울특별시 성동구 성수일로8길 5(성수동2가, 서울숲SKV1타워에이동7층701-712호)","서울특별시 성동구 성수일로8길 5(성수동2가, 서울숲SKV1타워에이동7층701-712호)",37.5470746286973,127.051616327555
㈜도서출판점자,서울북부지사,"서울특별시 성동구 아차산로17길 48, 1동 4층 415~420호(성수동2가, SK V1센터)","서울특별시 성동구 아차산로17길 48, 1동 4층 415420호(성수동2가, SK V1센터)",37.5463937599992,127.065889477465
주식회사 대한장애인일자리센터,서울남부지사,"서울특별시 구로구 디지털로 306, 612호(구로동 대륭포스트타워 2차)","서울특별시 구로구 디지털로 306, 612호(구로동 대륭포스트타워 2차)",37.4859231683292,126.897336395657
주식회사 새날드림,서울남부지사,"서울특별시 강서구 강서로 385, 제8층 804-13","서울특별시 강서구 강서로 385, 제8층 804-13",37.5600926354663,126.838304106686
주식회사 아는소방씨엔씨,서울동부지사,"서울특별시 강남구 광평로 280, 로즈데일오피스텔 1841호(수서동)","서울특별시 강남구 광평로 280, 로즈데일오피스텔 1841호(수서동)",37.4873191631489,127.103108072457
한국장애인녹색재단,서울지역본부,"서울특별시 용산구 서빙고로 245, 2층","서울특별시 용산구 서빙고로 245, 2층",37.5204992000128,126.991114946188
헬스모아,서울북부지사,"서울특별시 동대문구 왕산로 117, 13층 1호(제기동, 불로장생타워상가)","서울특별시 동대문구 왕산로 117, 13층 1호(제기동, 불로장생타워상가)",37.5784958557261,127.036492900333
사단법인 한국장애인소비자연합,서울남부지사,"서울특별시 영등포구 당산로41길 11, 이(E)동 1906호(당산동4가, 당산SKV1센터)","서울특별시 영등포구 당산로41길 11, 이(E)동 1906호(당산동4가, 당산SKV1센터)",37.5308112501685,126.898319035004
해피팜 협동조합,서울남부지사,"서울특별시 강서구 마곡중앙5로 지하9, 상가 14호","서울특별시 강서구 마곡중앙5로 지하9, 상가 14호",37.5660114536639,126.82692745642
주식회사 하이비츠,서울북부지사,"서울특별시 성동구 아차산로 17길 49, 제2층 211호","서울특별시 성동구 아차산로 17길 49, 제2층 211호",37.5467683738173,127.065279307819
주식회사 누리마이스,서울남부지사,"서울특별시 양천구 신월로 289, 퀸즈포디엄 204호","서울특별시 양천구 신월로 289, 퀸즈포디엄 204호",37.5214268452276,126.852948403253
주식회사 에이특공대,서울동부지사,"서울특별시 강남구 강남대로 390, 4층 401호(역삼동)","서울특별시 강남구 강남대로 390, 4층 401호(역삼동)",37.4978399531903,127.028578846319
주식회사 윌비소프트,서울북부지사,"서울특별시 금천구 가산디지털2로 135 1304호(가산동, 가산어반워크)","서울특별시 금천구 가산디지털2로 135 1304호(가산동, 가산어반워크)",37.4800207661549,126.878015828177
주식회사 지안네이처,서울북부지사,"서울특별시 중랑구 신내역로 3길 40-36, A동 515호","서울특별시 중랑구 신내역로 3길 40-36, A동 515호",37.6176037664034,127.104063484063
(주)모두의교육그룹,서울남부지사,"서울특별시 금천구 가산디지털1로 75-15, 6층 621-625호","서울특별시 금천구 가산디지털1로 75-15, 6층 621-625호",37.4722997603892,126.884207457172
에이케이에스정보 주식회사,서울남부지사,"서울특별시 금천구 가산디지털1로 171, 515호(가산동, 가산skv1센터)","서울특별시 금천구 가산디지털1로 171, 515호(가산동, 가산skv1센터)",37.4808318534376,126.880662051163
한국복지방송(주),서울남부지사,"서울특별시 구로구 디지털로 32길 30, 301호, 302호, 305호(구로동)","서울특별시 구로구 디지털로 32길 30, 301호, 302호, 305호(구로동)",37.4833895421043,126.896519918476
사)순환자원과 함께하는사람들,서울남부지사,"서울특별시 강서구 화곡로 416, 827호","서울특별시 강서구 화곡로 416, 827호",37.5600240146894,126.855419700734
사단법인 장애인일자리나눔협회,서울북부지사,"서울특별시 동대문구 안암로 32, 2층(용두동)","서울특별시 동대문구 안암로 32, 2층(용두동)",37.580068508136,127.026076593456
주식회사 더스마트솔루션,서울남부지사,"서울특별시 금천구 가산디지털1로 45, 503호(이앤씨드림타워 8차)","서울특별시 금천구 가산디지털1로 45, 503호(이앤씨드림타워 8차)",37.4699066384201,126.885554453029
(주)명인에스아이엔지니어링,서울북부지사,"서울특별시 성동구 광나루로 6길 35, 7층 712호","서울특별시 성동구 광나루로 6길 35, 7층 712호",37.5467997268051,127.063296654148
(주)인투인웍스,서울남부지사,"서울특별시 영등포구 영등포로 150, C동 213~214호(당산동 1가)","서울특별시 영등포구 영등포로 150, C동 213214호(당산동 1가)",37.5205870929846,126.897544120719
(주)보광시스템,서울북부지사,"서울특별시 동대문구 왕산로 200, 911호(전농동, 롯데캐슬 SKY-L65)","서울특별시 동대문구 왕산로 200, 911호(전농동, 롯데캐슬 SKY-L65)",37.5798901828732,127.04616117771
(주)가능,서울남부지사,"서울특별시 강서구 양천로 620, 비즈니스센터 1404호","서울특별시 강서구 양천로 620, 비즈니스센터 1404호",37.5541740456187,126.866534130651
(주)앤돌핀,서울남부지사,"서울특별시 금천구 디지털로 178, 비동 1607호(가산동)","서울특별시 금천구 디지털로 178, 비동 1607호(가산동)",37.4764394057239,126.887331650246
주식회사 티앤티솔루션,서울지역본부,"서울특별시 용산구 새창로 101, 1청, 3층(용문동)","서울특별시 용산구 새창로 101, 1청, 3층(용문동)",37.5383530596604,126.960044217706
플라이쿱,서울북부지사,"서울특별시 성동구 동일로 287, 플라이쿱빌딩","서울특별시 성동구 동일로 287, 플라이쿱빌딩",37.5571067844131,127.072095965935
주식회사 캔버시,서울지역본부,"서울특별시 용산구 한강대로 109, 17층 1703호","서울특별시 용산구 한강대로 109, 17층 1703호",37.5300046920783,126.968166439864
(주)아이씨엠비전,서울남부지사,"서울특별시 강서구 양천로 424, 제10층 제1018호(등촌동)","서울특별시 강서구 양천로 424, 제10층 제1018호(등촌동)",37.5642277147695,126.847971033372
(주)국민트랜스,서울지역본부,"서울특별시 중구 세종대로 4길 25, 2층 201호","서울특별시 중구 세종대로 4길 25, 2층 201호",37.557803046978,126.975326073153
한국장애인고용산업주식회사,서울남부지사,"서울특별시 영등포구 영등포로5길 19, 912호","서울특별시 영등포구 영등포로5길 19, 912호",37.5241158142187,126.884222107312
주식회사 하모니스,서울북부지사,"서울특별시 성동구 왕십리로 309, 206호(행당동, 이스타빌)","서울특별시 성동구 왕십리로 309, 206호(행당동, 이스타빌)",37.5613776986706,127.034582633625
주식회사 성의통상,서울북부지사,"서울특별시 동대문구 무학로20길 37, 101(용두동)","서울특별시 동대문구 무학로20길 37, 101(용두동)",37.571197015154,127.032712628039
주식회사 유즈플레이스,서울동부지사,"서울특별시 성동구 아차산로17길 49, 213호(성수동2가)","서울특별시 성동구 아차산로17길 49, 213호(성수동2가)",37.5467683738173,127.065279307819
주식회사 꿈터,서울북부지사,"서울특별시 성북구 아리랑로5길 1, 4층","서울특별시 성북구 아리랑로5길 1, 4층",37.5963473020524,127.015121551747
잎사귀치과병원,서울지역본부,"서울특별시 서대문구 명물길 32, 2층, 3층","서울특별시 서대문구 명물길 32, 2층, 3층",37.5580393361319,126.938445484078
사단법인 장애인미래에너지창조연합회,서울동부지사,"서울특별시 강남구 테헤란로 501, 7층 722호(삼성동)","서울특별시 강남구 테헤란로 501, 7층 722호(삼성동)",37.5073809450356,127.056821251348
사단법인 강동장애인협회,서울동부지사,"서울특별시 강동구 양재대로 124길 48, 2층","서울특별시 강동구 양재대로 124길 48, 2층",37.5424858217746,127.14465833395
(주)디스에이블드,서울동부지사,"서울특별시 강남구 학동로23길 21, 3층","서울특별시 강남구 학동로23길 21, 3층",37.5147742848647,127.02769511186
사단법인 서영사랑나눔의복지회,서울동부지사,"서울특별시 송파구 송이로 150, 501호","서울특별시 송파구 송이로 150, 501호",37.4935154261082,127.124233561257
경일기업,서울북부지사,"서울특별시 성북구 보문로29길 119, 5층","서울특별시 성북구 보문로29길 119, 5층",37.5853302078027,127.012290330158
디자인ADC,서울동부지사,"서울특별시 강동구 천호대로 1469-1, 201호(상일동)","서울특별시 강동구 천호대로 1469-1, 201호(상일동)",37.5467125369278,127.171296793024
주식회사 지앤지대양,서울남부지사,"서울특별시 강서구 마곡중앙4로 10, A동 9층 921~923호(마곡동)","서울특별시 강서구 마곡중앙4로 10, A동 9층 921923호(마곡동)",37.5585909839084,126.827940700651
온누리산업,서울남부지사,"서울특별시 강서구 마곡중앙4로 18, 비동 8층 802호(마곡동)","서울특별시 강서구 마곡중앙4로 18, 비동 8층 802호(마곡동)",37.5585262889813,126.828619803537
한국장애인표준사업장 사회적협동조합,서울동부지사,"서울특별시 송파구 송이로 150, 6층","서울특별시 송파구 송이로 150, 6층",37.4935154261082,127.124233561257
